Beadpack,,Sandstone,,Limestone,
X,Y,X,Y,X,Y
2.616714697,0.165975104,-1.821325648,1.784232365,-1.383285303,-0.406639004
2.755043228,0.215767635,-1.648414986,1.734439834,-1.314121037,-0.468879668
2.870317003,0.215767635,-1.498559078,1.721991701,-1.291066282,-0.493775934
2.916426513,0.116182573,-1.371757925,1.709543568,-1.233429395,-0.56846473
2.83573487,-0.058091286,-1.25648415,1.746887967,-1.16426513,-0.605809129
2.74351585,-0.095435685,-1.16426513,1.721991701,-1.141210375,-0.630705394
2.616714697,-0.107883817,-1.014409222,1.634854772,-1.083573487,-0.680497925
2.731988473,0.041493776,-1.014409222,1.697095436,-1.060518732,-0.705394191
2.639769452,-0.045643154,-0.956772334,1.485477178,-1.002881844,-0.755186722
2.616714697,-0.058091286,-1.083573487,1.485477178,-0.968299712,-0.79253112
2.593659942,-0.095435685,-1.268011527,1.410788382,-0.922190202,-0.817427386
2.74351585,-0.058091286,-1.268011527,1.22406639,-0.887608069,-0.867219917
2.83573487,0.029045643,-1.268011527,1.062240664,-0.853025937,-0.867219917
2.893371758,0.091286307,-1.268011527,0.887966805,-0.783861671,-0.929460581
2.858789625,0.190871369,-1.25648415,0.639004149,-0.737752161,-0.979253112
2.65129683,0.190871369,-1.25648415,0.489626556,-0.703170029,-1.041493776
2.489913545,0.165975104,-1.175792507,0.489626556,-0.703170029,-1.066390041
2.443804035,0.078838174,-1.07204611,0.439834025,-0.680115274,-1.141078838
2.432276657,-0.008298755,-1.07204611,0.340248963,-0.634005764,-1.253112033
2.46685879,-0.058091286,-0.945244957,0.228215768,-0.634005764,-1.340248963
2.65129683,-0.045643154,-0.818443804,0.290456432,-0.634005764,-1.427385892
2.858789625,0.066390041,-0.749279539,0.141078838,-0.668587896,-1.539419087
2.801152738,0.141078838,-0.668587896,0.004149378,-0.703170029,-1.589211618
2.536023055,0.053941909,-0.634005764,0.128630705,-0.772334294,-1.614107884
2.443804035,-0.045643154,-0.553314121,0.153526971,-0.841498559,-1.651452282
2.5129683,-0.12033195,-0.461095101,0.203319502,-0.910662824,-1.663900415
2.65129683,-0.12033195,-0.530259366,0.253112033,-0.956772334,-1.663900415
2.69740634,-0.107883817,-0.703170029,0.253112033,-1.060518732,-1.676348548
2.674351585,0.041493776,-0.484149856,0.402489627,-1.16426513,-1.701244813
2.65129683,0.091286307,-0.403458213,0.452282158,-1.175792507,-1.701244813
2.755043228,0.203319502,-0.414985591,0.589211618,-1.187319885,-1.701244813
2.824207493,0.190871369,-0.495677233,0.564315353,-1.314121037,-1.663900415
2.824207493,0.10373444,-0.634005764,0.477178423,-1.337175793,-1.651452282
2.778097983,0.029045643,-0.518731988,0.763485477,-1.406340058,-1.626556017
2.731988473,-0.033195021,-0.391930836,0.738589212,-1.44092219,-1.614107884
2.708933718,-0.045643154,-0.322766571,0.738589212,-1.475504323,-1.589211618
2.674351585,-0.145228216,-0.645533141,0.701244813,-1.521613833,-1.489626556
2.60518732,-0.157676349,-0.772334294,0.68879668,-1.544668588,-1.452282158
2.55907781,-0.157676349,-0.818443804,0.576763485,-1.567723343,-1.427385892
2.536023055,-0.157676349,-0.853025937,0.726141079,-1.729106628,-1.315352697
2.524495677,-0.157676349,-0.714697406,0.838174274,-1.763688761,-1.278008299
2.489913545,-0.145228216,-0.645533141,0.912863071,-1.821325648,-1.178423237
2.478386167,-0.095435685,-0.564841499,0.962655602,-1.844380403,-1.141078838
2.501440922,-0.058091286,-0.518731988,0.887966805,-1.913544669,-1.078838174
2.547550432,-0.082987552,-0.541786744,1.124481328,-1.948126801,-1.041493776
2.547550432,-0.107883817,-0.541786744,1.186721992,-1.971181556,-0.979253112
2.639769452,-0.107883817,-0.553314121,1.31120332,-2.017291066,-0.87966805
2.720461095,-0.095435685,-0.610951009,1.373443983,-2.051873199,-0.780082988
2.74351585,-0.095435685,-0.668587896,1.423236515,-2.074927954,-0.705394191
2.778097983,-0.082987552,-0.657060519,1.236514523,-2.132564841,-0.643153527
2.83573487,-0.070539419,-0.691642651,1.087136929,-2.155619597,-0.506224066
2.870317003,-0.045643154,-0.772334294,0.950207469,-2.190201729,-0.443983402
2.92795389,0.041493776,-0.841498559,0.900414938,-2.201729107,-0.356846473
2.939481268,0.091286307,-0.922190202,0.800829876,-2.236311239,-0.182572614
2.962536023,0.215767635,-0.991354467,0.738589212,-2.259365994,-0.107883817
2.962536023,0.178423237,-1.037463977,0.726141079,-2.351585014,-0.095435685
2.870317003,0.215767635,-1.11815562,0.626556017,-2.363112392,-0.095435685
2.78962536,0.265560166,-1.16426513,0.589211618,-2.340057637,-0.195020747
2.731988473,0.265560166,-1.014409222,0.539419087,-2.224783862,-0.232365145
2.662824207,0.228215768,-0.933717579,0.402489627,-2.167146974,-0.232365145
2.628242075,0.190871369,-1.57925072,0.46473029,-2.132564841,-0.157676349
2.582132565,0.190871369,-1.740634006,0.55186722,-2.028818444,-0.058091286
2.547550432,0.190871369,-1.452449568,0.514522822,-2.017291066,-0.095435685
2.5129683,0.153526971,-1.221902017,0.165975104,-2.051873199,-0.20746888
2.478386167,0.153526971,-1.16426513,0.004149378,-2.074927954,-0.294605809
2.432276657,0.041493776,-1.037463977,0.153526971,-2.074927954,-0.406639004
2.386167147,0.029045643,-0.910662824,-0.070539419,-2.063400576,-0.493775934
